x y Vx Vy V V1 V2 V3 V4
-1.84e+00 +1.76e+00 +3.31e-15 -3.31e-15 +3.31e-15 +1.28e-24 +1.22e-38 +9.03e-24 +3.31e-15
-1.84e+00 +1.84e+00 +3.50e-16 -3.50e-16 +3.49e-16 +2.37e-25 +3.20e-40 +2.37e-25 +3.50e-16
-1.84e+00 +1.92e+00 +3.25e-17 -3.25e-17 +3.25e-17 +3.74e-26 +7.15e-42 +5.29e-27 +3.25e-17
-1.84e+00 +2.00e+00 +2.65e-18 -2.65e-18 +2.65e-18 +5.07e-27 +1.36e-43 +1.01e-28 +2.65e-18
-1.76e+00 -2.00e+00 -2.65e-17 -2.65e-17 +2.65e-17 +5.21e-42 +1.94e-25 +2.65e-17 +5.47e-28
-1.76e+00 -1.92e+00 -3.16e-16 -3.16e-16 +3.16e-16 +2.73e-40 +1.43e-24 +3.16e-16 +2.87e-26
-1.76e+00 -1.84e+00 -3.31e-15 -3.31e-15 +3.30e-15 +1.22e-38 +9.03e-24 +3.31e-15 +1.28e-24
-1.76e+00 -1.76e+00 -3.04e-14 -3.04e-14 +3.03e-14 +4.68e-37 +4.90e-23 +3.04e-14 +4.90e-23
-1.76e+00 -1.68e+00 -2.46e-13 -2.46e-13 +2.46e-13 +1.53e-35 +2.28e-22 +2.46e-13 +1.60e-21
-1.76e+00 -1.60e+00 -1.75e-12 -1.75e-12 +1.75e-12 +4.26e-34 +9.16e-22 +1.75e-12 +4.45e-20
-1.76e+00 -1.52e+00 -1.11e-11 -1.11e-11 +1.11e-11 +1.01e-32 +3.17e-21 +1.11e-11 +1.06e-18
-1.76e+00 -1.44e+00 -6.18e-11 -6.18e-11 +6.19e-11 +2.06e-31 +9.45e-21 +6.18e-11 +2.15e-17
-1.76e+00 -1.36e+00 -3.07e-10 -3.07e-10 +3.07e-10 +3.58e-30 +2.44e-20 +3.07e-10 +3.73e-16
-1.76e+00 -1.28e+00 -1.36e-09 -1.36e-09 +1.36e-09 +5.31e-29 +5.50e-20 +1.36e-09 +5.53e-15
-1.76e+00 -1.20e+00 -5.39e-09 -5.39e-09 +5.39e-09 +6.75e-28 +1.08e-19 +5.39e-09 +7.00e-14
-1.76e+00 -1.12e+00 -1.91e-08 -1.91e-08 +1.91e-08 +7.33e-27 +1.87e-19 +1.91e-08 +7.59e-13
-1.76e+00 -1.04e+00 -6.11e-08 -6.11e-08 +6.11e-08 +6.82e-26 +2.87e-19 +6.11e-08 +7.04e-12
-1.76e+00 -9.60e-01 -1.76e-07 -1.76e-07 +1.76e-07 +5.43e-25 +3.96e-19 +1.76e-07 +5.58e-11
-1.76e+00 -8.80e-01 -4.57e-07 -4.58e-07 +4.58e-07 +3.70e-24 +4.96e-19 +4.58e-07 +3.79e-10
-1.76e+00 -8.00e-01 -1.08e-06 -1.08e-06 +1.08e-06 +2.17e-23 +5.75e-19 +1.08e-06 +2.21e-09
-1.76e+00 -7.20e-01 -2.31e-06 -2.33e-06 +2.33e-06 +1.09e-22 +6.28e-19 +2.32e-06 +1.10e-08
-1.76e+00 -6.40e-01 -4.49e-06 -4.58e-06 +4.58e-06 +4.70e-22 +6.59e-19 +4.54e-06 +4.72e-08
-1.76e+00 -5.60e-01 -7.91e-06 -8.26e-06 +8.26e-06 +1.75e-21 +6.73e-19 +8.08e-06 +1.74e-07
-1.76e+00 -4.80e-01 -1.26e-05 -1.37e-05 +1.37e-05 +5.61e-21 +6.75e-19 +1.31e-05 +5.51e-07
-1.76e+00 -4.00e-01 -1.78e-05 -2.08e-05 +2.08e-05 +1.56e-20 +6.68e-19 +1.93e-05 +1.50e-06
-1.76e+00 -3.20e-01 -2.22e-05 -2.93e-05 +2.93e-05 +3.75e-20 +6.46e-19 +2.58e-05 +3.55e-06
-1.76e+00 -2.40e-01 -2.37e-05 -3.81e-05 +3.81e-05 +7.87e-20 +6.05e-19 +3.09e-05 +7.24e-06
-1.76e+00 -1.60e-01 -2.04e-05 -4.60e-05 +4.60e-05 +1.45e-19 +5.39e-19 +3.32e-05 +1.28e-05
-1.76e+00 -8.00e-02 -1.19e-05 -5.14e-05 +5.14e-05 +2.36e-19 +4.48e-19 +3.17e-05 +1.98e-05
-1.76e+00 +0.00e+00 +5.08e-20 -5.34e-05 +5.34e-05 +3.42e-19 +3.42e-19 +2.67e-05 +2.67e-05
-1.76e+00 +8.00e-02 +1.19e-05 -5.14e-05 +5.14e-05 +4.48e-19 +2.36e-19 +1.98e-05 +3.17e-05
-1.76e+00 +1.60e-01 +2.04e-05 -4.60e-05 +4.60e-05 +5.39e-19 +1.45e-19 +1.28e-05 +3.32e-05
-1.76e+00 +2.40e-01 +2.37e-05 -3.81e-05 +3.81e-05 +6.05e-19 +7.87e-20 +7.24e-06 +3.09e-05
-1.76e+00 +3.20e-01 +2.22e-05 -2.93e-05 +2.93e-05 +6.46e-19 +3.75e-20 +3.55e-06 +2.58e-05
-1.76e+00 +4.00e-01 +1.78e-05 -2.08e-05 +2.08e-05 +6.68e-19 +1.56e-20 +1.50e-06 +1.93e-05
-1.76e+00 +4.80e-01 +1.26e-05 -1.37e-05 +1.37e-05 +6.75e-19 +5.61e-21 +5.51e-07 +1.31e-05
-1.76e+00 +5.60e-01 +7.91e-06 -8.26e-06 +8.26e-06 +6.73e-19 +1.75e-21 +1.74e-07 +8.08e-06
-1.76e+00 +6.40e-01 +4.49e-06 -4.58e-06 +4.58e-06 +6.59e-19 +4.70e-22 +4.72e-08 +4.54e-06
-1.76e+00 +7.20e-01 +2.31e-06 -2.33e-06 +2.33e-06 +6.28e-19 +1.09e-22 +1.10e-08 +2.32e-06
-1.76e+00 +8.00e-01 +1.08e-06 -1.08e-06 +1.08e-06 +5.75e-19 +2.17e-23 +2.21e-09 +1.08e-06
-1.76e+00 +8.80e-01 +4.57e-07 -4.58e-07 +4.58e-07 +4.96e-19 +3.70e-24 +3.79e-10 +4.58e-07
-1.76e+00 +9.60e-01 +1.76e-07 -1.76e-07 +1.76e-07 +3.96e-19 +5.43e-25 +5.58e-11 +1.76e-07
